epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,26912.4,1.21216,2.16987,1.19405,1.32823,0.5384,0.43629,0.42345,0.22963,0.48862,0.41221,0.43029,0.22215,1.77214,3.19263,1.98916,2.069,0.00182576,0.00182576,0.00182576
90,27226.4,1.15529,2.19075,1.1859,1.29913,0.46405,0.48855,0.41913,0.246,0.55953,0.45038,0.46475,0.25622,1.77311,3.09108,1.95394,2.04547,0.00182378,0.00182378,0.00182378
91,27539.5,1.17234,2.18054,1.14044,1.30847,0.52419,0.49618,0.45597,0.23211,0.49469,0.46334,0.43935,0.2343,1.78704,3.0202,1.97657,2.10777,0.0018218,0.0018218,0.0018218
92,27853.9,1.17334,2.10474,1.16623,1.31208,0.47284,0.5067,0.42665,0.19884,0.43429,0.48855,0.3962,0.19596,1.79478,3.33964,1.95592,2.02066,0.00181982,0.00181982,0.00181982
93,28170.4,1.16698,2.2494,1.17049,1.30518,0.5931,0.41221,0.43872,0.24552,0.69195,0.48092,0.53289,0.27603,1.66503,2.77461,1.81155,1.94338,0.00181784,0.00181784,0.00181784
94,28485.5,1.14278,2.1441,1.11774,1.31169,0.67228,0.47328,0.51123,0.26642,0.69891,0.48855,0.5131,0.26105,1.63825,2.92621,1.75865,1.89588,0.00181586,0.00181586,0.00181586
95,28807,1.133,2.04993,1.15263,1.27381,0.54153,0.45802,0.44168,0.23973,0.54153,0.45802,0.46386,0.24123,1.67775,3.21377,1.9969,1.95554,0.00181388,0.00181388,0.00181388
96,29124.3,1.17426,2.03773,1.14844,1.32319,0.50769,0.54318,0.48039,0.26851,0.54523,0.56744,0.53324,0.29253,1.6099,2.92197,1.87601,1.92021,0.0018119,0.0018119,0.0018119
97,29437.7,1.1114,2.05577,1.08779,1.28349,0.51736,0.51908,0.45669,0.27221,0.56013,0.52672,0.51913,0.28629,1.58816,2.8308,1.82466,1.89196,0.00180992,0.00180992,0.00180992
98,29753.3,1.11914,2.09202,1.11439,1.27501,0.55753,0.51908,0.47647,0.26653,0.60433,0.52468,0.51666,0.26958,1.62809,3.05888,1.75759,1.96884,0.00180794,0.00180794,0.00180794
99,30069.2,1.10517,2.10396,1.09427,1.26742,0.64105,0.43511,0.45669,0.27331,0.64533,0.44448,0.48921,0.26874,1.59037,3.11969,1.94578,1.95392,0.00180596,0.00180596,0.00180596
100,30393.6,1.13032,2.08391,1.10486,1.27781,0.55275,0.46565,0.46428,0.26928,0.5898,0.47196,0.48986,0.27963,1.6704,3.16108,1.88838,1.9576,0.00180398,0.00180398,0.00180398
101,30709.4,1.11675,2.05887,1.15077,1.27857,0.61169,0.45696,0.48816,0.28067,0.66603,0.46565,0.51982,0.28625,1.56286,3.21033,1.73784,1.87422,0.001802,0.001802,0.001802
102,31028.8,1.10333,2.03511,1.08493,1.25043,0.52131,0.55725,0.50002,0.2899,0.63882,0.51145,0.52297,0.2887,1.60779,3.00658,1.73515,1.91412,0.00180002,0.00180002,0.00180002
103,31351.4,1.11231,2.00716,1.12048,1.23681,0.53809,0.56914,0.52814,0.29874,0.70121,0.50163,0.53345,0.29807,1.64598,2.83766,1.77869,1.96644,0.00179804,0.00179804,0.00179804
104,31671.6,1.12766,2.05031,1.05577,1.30118,0.55113,0.53425,0.52528,0.28653,0.56282,0.51908,0.4911,0.26089,1.61742,2.93927,1.74541,1.91042,0.00179606,0.00179606,0.00179606
105,31989.3,1.1264,2.08846,1.07688,1.27874,0.54523,0.48092,0.49223,0.27871,0.67435,0.43511,0.49019,0.26655,1.64899,3.47444,1.83664,1.97915,0.00179408,0.00179408,0.00179408
